ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
Abigail,King Diamond,Abigail (1987), Abigail
Ghost Reveries,Opeth,Ghost Reveries (2005), Ghost of Perdition
ΚΕΦΑΛΗΞΘ [Psalm 69],Ministry,ΚΕΦΑΛΗΞΘ [Psalm 69] (1992), Jesus Built My Hotrod
Blackwater Park,Opeth,Blackwater Park (2001), Blackwater Park
Operation: Mindcrime,Queensrÿche,Operation: Mindcrime (1988), Revolution Calling
Painkiller,Judas Priest,Painkiller (1990), A Touch of Evil
Dirt,Alice in Chains,Dirt (1992), Them Bones
The Sound of Perseverance,Death,The Sound of Perseverance (1998), Spirit Crusher
Beneath the Remains,Sepultura,Beneath the Remains (1989), Beneath the Remains
Master of Reality,Black Sabbath,Master of Reality (1971), After Forever
Countdown to Extinction,Megadeth,Countdown to Extinction (1992),Countdown to Extinction
The Ultimate Sin,Ozzy Osbourne,The Ultimate Sin (1986),Shot in the Dark
Wheels of Steel,Saxon,Wheels of Steel (1980),Wheels of Steel
Black Sabbath Vol. 4,Black Sabbath,Black Sabbath Vol. 4 (1972),Wheels of Confusion
The Last Command,W.A.S.P.,The Last Command (1985),Wild Child
Welcome to Hell,Venom,Welcome to Hell (1981),Welcome to Hell
Somewhere in Time,Iron Maiden,Somewhere in Time (1986),Alexander the Great
Ashes Against the Grain,Agalloch,Ashes Against the Grain (2006),Not Unlike the Waves
Mezmerize,System of a Down,Mezmerize (2005),B.Y.O.B.
Mob Rules,Black Sabbath,Mob Rules (1981),Mob Rules
Restless and Wild,Accept,Restless and Wild (1982),Princess of the Dawn
Chaos A.D.,Sepultura,Chaos A.D. (1993),Territory
South of Heaven,Slayer,South of Heaven (1988),Silent Scream
Overkill,Motörhead,Overkill (1979),Damage Case
The Jester Race,In Flames,The Jester Race (1996),Artifacts of the Black Rain
Hall of the Mountain King,Savatage,Hall of the Mountain King (1987),Hall of the Mountain King
Mob Rules,Black Sabbath,Mob Rules (1981),Falling Off the Edge of the World
Diary of a Madman,Ozzy Osbourne,Diary of a Madman (1981),Flying High Again
Reign in Blood,Slayer,Reign in Blood (1986),Jesus Saves
W.A.S.P.,W.A.S.P.,W.A.S.P. (1984),I Wanna Be Somebody
British Steel,Judas Priest,British Steel (1980),Metal Gods
Restless and Wild,Accept,Restless and Wild (1982),Restless and Wild
Sehnsucht,Rammstein,Sehnsucht (1997),Du Hast
Diary of a Madman,Ozzy Osbourne,Diary of a Madman (1981),Over the Mountain
Chaos A.D.,Sepultura,Chaos A.D. (1993),Refuse / Resist
Sabbath Bloody Sabbath,Black Sabbath,Sabbath Bloody Sabbath (1973),A National Acrobat
No More Tears,Ozzy Osbourne,No More Tears (1991),No More Tears
Brave New World,Iron Maiden,Brave New World (2000),The Wicker Man
Ashes Against the Grain,Agalloch,Ashes Against the Grain (2006),Falling Snow
Metal Heart,Accept,Metal Heart (1985),Metal Heart
Strong Arm of the Law,Saxon,Strong Arm of the Law (1980),Heavy Metal Thunder
Denim and Leather,Saxon,Denim and Leather (1981),Princess of the Night
Operation: Mindcrime,Queensrÿche,Operation: Mindcrime (1988),Eyes of a Stranger
Whoracle,In Flames,Whoracle (1997),Episode 666
The Jester Race,In Flames,The Jester Race (1996),The Jester Race
Leprosy,Death,Leprosy (1988),Pull the Plug
Don't Break the Oath,Mercyful Fate,Don't Break the Oath (1984),A Dangerous Meeting
Vivid,Living Colour,Vivid (1988),Cult of Personality
Lightning to the Nations,Diamond Head,Lightning to the Nations (1980),Lightning to the Nations
Blood Fire Death,Bathory,Blood Fire Death (1988),Blood Fire Death
Gutter Ballet,Savatage,Gutter Ballet (1989),Gutter Ballet
Blues for the Red Sun,Kyuss,Blues for the Red Sun (1992),Green Machine
Symbolic,Death,Symbolic (1995),Symbolic
Ænima,Tool,Ænima (1996),Eulogy
The New Order,Testament,The New Order (1988),The New Order
In the Nightside Eclipse,Emperor,In the Nightside Eclipse (1994),I Am the Black Wizards
Leviathan,Mastodon,Leviathan (2004),Blood and Thunder
The Sound of Perseverance,Death,The Sound of Perseverance (1998),Scavenger of Human Sorrow
Danzig,Danzig,Danzig (1988),Mother
Kyuss [Welcome to Sky Valley],Kyuss,Kyuss [Welcome to Sky Valley] (1994),Odyssey
Lightning to the Nations,Diamond Head,Lightning to the Nations (1980),Helpless
Strong Arm of the Law,Saxon,Strong Arm of the Law (1980),Dallas 1pm
Epicus Doomicus Metallicus,Candlemass,Epicus Doomicus Metallicus (1986),Solitude
To Mega Therion,Celtic Frost,To Mega Therion (1985),Circle of the Tyrants
Dirt,Alice in Chains,Dirt (1992),Would?
Slaughter of the Soul,At the Gates,Slaughter of the Soul (1995),Slaughter of the Soul
Bonded by Blood,Exodus,Bonded by Blood (1985),Deliver Us to Evil
Show No Mercy,Slayer,Show No Mercy (1983),The Antichrist
Dance of Death,Iron Maiden,Dance of Death (2003),Dance of Death
Welcome to Hell,Venom,Welcome to Hell (1981),In League With Satan
Arise,Sepultura,Arise (1991),Arise
The Mind Is a Terrible Thing to Taste,Ministry,The Mind Is a Terrible Thing to Taste (1989),Thieves
Battle Hymns,Manowar,Battle Hymns (1982),Battle Hymn
Strong Arm of the Law,Saxon,Strong Arm of the Law (1980),Strong Arm of the Law
Vulgar Display of Power,Pantera,Vulgar Display of Power (1992),Fucking Hostile
Nightfall in Middle-Earth,Blind Guardian,Nightfall in Middle-Earth (1998),Mirror Mirror
Somewhere Far Beyond,Blind Guardian,Somewhere Far Beyond (1992),The Bard's Song (In The Forest)
The Real Thing,Faith No More,The Real Thing (1989),From Out of Nowhere
Fire Down Under,Riot,Fire Down Under (1981),Swords & Tequila
Far Beyond Driven,Pantera,Far Beyond Driven (1994),5 Minutes Alone
W.A.S.P.,W.A.S.P.,W.A.S.P. (1984),L.O.V.E. Machine
Vulgar Display of Power,Pantera,Vulgar Display of Power (1992),Mouth for War
Don't Break the Oath,Mercyful Fate,Don't Break the Oath (1984),Come To The Sabbath
Spreading the Disease,Anthrax,Spreading the Disease (1985),Armed and Dangerous
Denim and Leather,Saxon,Denim and Leather (1981),Denim and Leather
A Sun That Never Sets,Neurosis,A Sun That Never Sets (2001),Stones From the Sky
October Rust,Type O Negative,October Rust (1996),My Girlfriend's Girlfriend
Psalm 9,Trouble,Psalm 9 (1984),The Tempter
Rock City,Riot,Rock City (1977),Warrior
Facelift,Alice in Chains,Facelift (1990),We Die Young
The Crimson Idol,W.A.S.P.,The Crimson Idol (1992),The Idol
Tempo of the Damned,Exodus,Tempo of the Damned (2004),Tempo of the Damned
Symbolic,Death,Symbolic (1995),Empty Words
The Last Command,W.A.S.P.,The Last Command (1985),Blind in Texas
Blood Mountain,Mastodon,Blood Mountain (2006),Crystal Skull
Imaginations From the Other Side,Blind Guardian,Imaginations From the Other Side (1995),Imaginations From the Other Side
Slaughter of the Soul,At the Gates,Slaughter of the Soul (1995),Blinded by Fear
Slave to the Grind,Skid Row,Slave to the Grind (1991),Slave to the Grind
The Ritual,Testament,The Ritual (1992),Electric Crown
Black Metal,Venom,Black Metal (1982),Black Metal
Don't Break the Oath,Mercyful Fate,Don't Break the Oath (1984),Desecration of Souls
Another Perfect Day,Motörhead,Another Perfect Day (1983),Shine
Heartwork,Carcass,Heartwork (1993),No Love Lost
Blood Mountain,Mastodon,Blood Mountain (2006),Sleeping Giant
The Hunter,Mastodon,The Hunter (2011),Black Tongue
Hail to England,Manowar,Hail to England (1984),Bridge of Death
Arise,Sepultura,Arise (1991),Dead Embryonic Cells
Emperor's Return,Celtic Frost,Emperor's Return (1985) [EP],Dethroned Emperor
Show No Mercy,Slayer,Show No Mercy (1983),Die by the Sword
Far Beyond Driven,Pantera,Far Beyond Driven (1994),I'm Broken
Twilight of the Thunder God,Amon Amarth,Twilight of the Thunder God (2008),Guardians of Asgaard
Rage Against the Machine,Rage Against the Machine,Rage Against the Machine (1992),Wake Up
The Angel and the Dark River,My Dying Bride,The Angel and the Dark River (1995),The Cry of Mankind
Sacred Heart,Dio,Sacred Heart (1985),Sacred Heart
Psalm 9,Trouble,Psalm 9 (1984),Psalm 9
Accident of Birth,Bruce Dickinson,Accident of Birth (1997),Darkside of Aquarius
Nightfall in Middle-Earth,Blind Guardian,Nightfall in Middle-Earth (1998),Nightfall
A Night at the Opera,Blind Guardian,A Night at the Opera (2002),And Then There Was Silence
Heartwork,Carcass,Heartwork (1993),Heartwork
The Last in Line,Dio,The Last in Line (1984),We Rock
Pleasure to Kill,Kreator,Pleasure to Kill (1986),Pleasure to Kill
Brave New World,Iron Maiden,Brave New World (2000),Blood Brothers
Morbid Tales,Celtic Frost,Morbid Tales (1984),Into the Crypts of Rays
Deliverance,Opeth,Deliverance (2002),Deliverance
Dirt,Alice in Chains,Dirt (1992),Down in a Hole
Inferno,Motörhead,Inferno (2004),Killers
Cleansing,Prong,Cleansing (1994),Snap Your Fingers, Snap Your Neck
Kings of Metal,Manowar,Kings of Metal (1988),Hail and Kill
Suicidal Tendencies,Suicidal Tendencies,Suicidal Tendencies (1983),Institutionalized
Land of the Free,Gamma Ray,Land of the Free (1995),Land of the Free
Welcome to Hell,Venom,Welcome to Hell (1981),Witching Hour
We Care a Lot,Faith No More,We Care a Lot (1985),We Care A Lot
Black Metal,Venom,Black Metal (1982),Countess Bathory
NOLA,Down,NOLA (1995),Stone the Crow
Facelift,Alice in Chains,Facelift (1990),Man in the Box
Oceanborn,Nightwish,Oceanborn (1998),Gethsemane
Necroticism: Descanting the Insalubrious,Carcass,Necroticism: Descanting the Insalubrious (1991),Incarnated Solvent Abuse
Badmotorfinger,Soundgarden,Badmotorfinger (1991),Jesus Christ Pose
Leviathan,Mastodon,Leviathan (2004),Iron Tusk
Alice in Hell,Annihilator,Alice in Hell (1989),Alision Hell
The Dark,Metal Church,The Dark (1986),Start the Fire
Cryptic Writings,Megadeth,Cryptic Writings (1997),Trust
Spellbound,Tygers of Pan Tang,Spellbound (1981),Hellbound
Mutter,Rammstein,Mutter (2001),Mein Herz Brennt
Persistence of Time,Anthrax,Persistence of Time (1990),Got the Time
Stalingrad,Accept,Stalingrad (2012),Stalingrad
Accident of Birth,Bruce Dickinson,Accident of Birth (1997),Taking the Queen
Angel Witch,Angel Witch,Angel Witch (1980),Angel of Death
Candlemass,Candlemass,Candlemass (2005),Black Dwarf
End of All Days,Rage,End of All Days (1996),Higher Than the Sky
Metal on Metal,Anvil,Metal on Metal (1982),Metal On Metal
Demanufacture,Fear Factory,Demanufacture (1995),Demanufacture
Night of the Stormrider,Iced Earth,Night of the Stormrider (1991),Stormrider
Images and Words,Dream Theater,Images and Words (1992),Pull Me Under
Practice What You Preach,Testament,Practice What You Preach (1989),Practice What You Preach
Animal (F**k Like a Beast) / Show No Mercy,W.A.S.P.,Animal (F**k Like a Beast) / Show No Mercy (1984) [Single],Animal (Fuck Like a Beast)
Angels Cry,Angra,Angels Cry (1993),Carry On
Gutter Ballet,Savatage,Gutter Ballet (1989),When the Crowds are Gone
With Oden on Our Side,Amon Amarth,With Oden on Our Side (2006),Valhall Awaits Me
The New Order,Testament,The New Order (1988),The Preacher
The Legacy,Testament,The Legacy (1987),Over the Wall
Spellbound,Tygers of Pan Tang,Spellbound (1981),Gangland
Fabulous Disaster,Exodus,Fabulous Disaster (1989),The Toxic Waltz
State of Euphoria,Anthrax,State of Euphoria (1988),Antisocial
Diary of a Madman,Ozzy Osbourne,Diary of a Madman (1981),You Can't Kill Rock and Roll
Images and Words,Dream Theater,Images and Words (1992),Metropolis Pt. 1 - The Miracle and the Sleeper
Killing Is My Business... And Business Is Good!,Megadeth,Killing Is My Business... And Business Is Good! (1985),Mechanix
Bastards,Motörhead,Bastards (1993),I Am the Sword
1916,Motörhead,1916 (1991),I'm So Bad (Baby I Don't Care)
Rage Against the Machine,Rage Against the Machine,Rage Against the Machine (1992),Bullet in the Head
Metal Church,Metal Church,Metal Church (1984),Metal Church
Night of the Stormrider,Iced Earth,Night of the Stormrider (1991),Pure Evil
Nightfall,Candlemass,Nightfall (1987),Samarithan
De mysteriis dom Sathanas,Mayhem,De mysteriis dom Sathanas (1994),Pagan Fears
With Oden on Our Side,Amon Amarth,With Oden on Our Side (2006),Runes to My Memory
Ozzmosis,Ozzy Osbourne,Ozzmosis (1995),Perry Mason
